깨 | 55212
꽝 | 5521215
끼 | 552
넜 | 5123434
뇽 | 52215
닥 | 15215
뎌 | 15112
걘 | 521125
곰 | 521251
궜 | 512123434
깩 | 552125
꽤 | 5521212
끽 | 5525
넝 | 5125
누 | 512
닦 | 152155
뎐 | 151125
걜 | 52112515
곱 | 5212211
궝 | 512125
깬 | 552125
꽥 | 55212125
낀 | 5525
넣 | 512115
눅 | 5125
단 | 15215
뎔 | 15112515
거 | 512
곳 | 52134
궤 | 512122
깰 | 55212515
꽹 | 55212125
낄 | 552515
네 | 5122
눈 | 5125
닫 | 152115
뎠 | 151123434
걱 | 5125
공 | 5215
궷 | 51212234
깸 | 55212251
꾀 | 55212
낌 | 552251
넥 | 51225
눋 | 51215
달 | 1521515
뎡 | 151125
건 | 5125
곶 | 52154
귀 | 5122
깹 | 552122211
꾄 | 552125
낍 | 5522211
넨 | 51225
눌 | 512515
닭 | 15215155
뎨 | 151122
걷 | 51215
과 | 52121
귁 | 51225
깻 | 5521234
꾈 | 55212515
낏 | 55234
넬 | 5122515
눔 | 512251
닮 | 1521515251
뎬 | 1511225
걸 | 512515
곽 | 521215
귄 | 51225
깼 | 552123434
꾐 | 55212251
낑 | 5525
넴 | 5122251
눕 | 5122211
닯 | 15215152211
도 | 1521
걺 | 512515251
관 | 521215
귈 | 5122515
깽 | 552125
꾑 | 552122211
나 | 521
넵 | 51222211
눗 | 51234
닳 | 1521515115
독 | 15215
검 | 512251
괄 | 52121515
귐 | 5122251
꺄 | 55211
꾕 | 552125
낙 | 5215
넷 | 512234
눙 | 5125
담 | 1521251
돈 | 15215
겁 | 5122211
괆 | 52121515251
귑 | 51222211
꺅 | 552115
꾜 | 55221
낚 | 52155
넸 | 51223434
눠 | 51212
답 | 15212211
돋 | 152115
것 | 51234
괌 | 52121251
귓 | 512234
꺌 | 55211515
꾸 | 5512
난 | 5215
넹 | 51225
눴 | 512123434
닷 | 152134
돌 | 1521515
겄 | 5123434
괍 | 521212211
규 | 5122
꺼 | 5512
꾹 | 55125
낟 | 52115
녀 | 5112
눼 | 512122
닸 | 15213434
돎 | 1521515251
겅 | 5125
괏 | 5212134
균 | 51225
꺽 | 55125
꾼 | 55125
날 | 521515
녁 | 51125
뉘 | 5122
당 | 15215
돐 | 152151534
겆 | 51254
광 | 521215
귤 | 5122515
꺾 | 551255
꿀 | 5512515
낡 | 5215155
년 | 51125
뉜 | 51225
닺 | 152154
돔 | 1521251
겉 | 512115
괘 | 521212
그 | 51
껀 | 55125
꿇 | 5512515115
낢 | 521515251
녈 | 5112515
뉠 | 5122515
닻 | 1521154
돕 | 15212211
겊 | 5121221
괜 | 5212125
극 | 515
껄 | 5512515
꿈 | 5512251
남 | 521251
념 | 5112251
뉨 | 5122251
닿 | 1521115
돗 | 152134
동 | 15215
딕 | 1525
뗘 | 1515112
람 | 51521251
롄 | 51511225
륨 | 515122251
먈 | 251211515
묑 | 2512125
및 | 2512154
벴 | 22111223434
돛 | 1521154
딘 | 1525
뗬 | 15151123434
랍 | 515212211
롑 | 51511222211
륩 | 5151222211
먕 | 2512115
묘 | 251221
밑 | 2512115
벵 | 22111225
돝 | 1521115
딛 | 15215
또 | 151521
랏 | 5152134
롓 | 515112234
륫 | 51512234
머 | 25112
묜 | 2512215
바 | 221121
벼 | 2211112
돠 | 152121
딜 | 152515
똑 | 1515215
랐 | 515213434
로 | 51521
륭 | 5151225
먹 | 251125
묠 | 251221515
박 | 2211215
벽 | 22111125
돤 | 1521215
딤 | 152251
똔 | 1515215
랑 | 515215
록 | 515215
르 | 5151
먼 | 251125
묩 | 2512212211
밖 | 22112155
변 | 22111125
돨 | 152121515
딥 | 1522211
똘 | 151521515
랒 | 5152154
론 | 515215
륵 | 51515
멀 | 25112515
묫 | 25122134
밗 | 221121534
별 | 2211112515
돼 | 1521212
딧 | 15234
똥 | 1515215
랖 | 515211221
롤 | 51521515
른 | 51515
멂 | 25112515251
무 | 25112
반 | 2211215
볍 | 22111122211
됐 | 15212123434
딨 | 1523434
똬 | 15152121
랗 | 51521115
롬 | 51521251
를 | 5151515
멈 | 25112251
묵 | 251125
받 | 22112115
볏 | 221111234
되 | 51212
딩 | 1525
똴 | 15152121515
래 | 515212
롭 | 515212211
름 | 5151251
멉 | 251122211
묶 | 2511255
발 | 221121515
볐 | 22111123434
된 | 152125
딪 | 15254
뙈 | 151521212
랙 | 5152125
롯 | 5152134
릅 | 51512211
멋 | 2511234
문 | 251125
밝 | 2211215155
병 | 22111125
될 | 15212515
따 | 151521
뙤 | 1515212
랜 | 5152125
롱 | 515215
릇 | 515134
멍 | 251125
묻 | 2511215
밞 | 221121515251
볕 | 2211112115
됨 | 15212251
딱 | 1515215
뙨 | 15152125
랠 | 515212515
롸 | 5152121
릉 | 51515
멎 | 2511254
물 | 25112515
밟 | 2211215152211
볘 | 22111122
됩 | 152122211
딴 | 1515215
뚜 | 151512
램 | 515212251
롼 | 51521215
릊 | 515154
멓 | 25112115
묽 | 251125155
밤 | 221121251
볜 | 221111225
됫 | 1521234
딸 | 151521515
뚝 | 1515125
랩 | 5152122211
뢍 | 51521215
릍 | 5151115
메 | 251122
묾 | 25112515251
밥 | 2211212211
보 | 221121
됴 | 15221
땀 | 151521251
뚠 | 1515125
랫 | 51521234
뢨 | 515212123434
릎 | 51511221
멕 | 2511225
뭄 | 25112251
밧 | 22112134
복 | 2211215
두 | 1512
땁 | 1515212211
뚤 | 151512515
랬 | 5152123434
뢰 | 515212
리 | 5152
멘 | 2511225
뭅 | 251122211
방 | 2211215
볶 | 22112155
둑 | 15125
땃 | 15152134
뚫 | 151512515115
랭 | 5152125
뢴 | 5152125
릭 | 51525
멜 | 251122515
뭇 | 2511234
밭 | 221121115
본 | 2211215
둔 | 15125
땄 | 1515213434
뚬 | 151512251
랴 | 515211
뢸 | 515212515
린 | 51525
멤 | 251122251
뭉 | 251125
배 | 2211212
볼 | 221121515
둘 | 1512515
땅 | 1515215
뚱 | 1515125
략 | 5152115
룀 | 515212251
릴 | 5152515
멥 | 2511222211
뭍 | 25112115
백 | 22112125
봄 | 221121251
둠 | 1512251
땋 | 151521115
뛔 | 151512122
랸 | 5152115
룁 | 5152122211
림 | 5152251
멧 | 25112234
뭏 | 25112115
밴 | 22112125
봅 | 2211212211
둡 | 15122211
때 | 1515212
뛰 | 1515122
럇 | 51521134
룃 | 51521234
립 | 51522211
멨 | 2511223434
뭐 | 2511212
밸 | 2211212515
봇 | 22112134
둣 | 151234
땍 | 15152125
뛴 | 15151225
량 | 5152115
룅 | 5152125
릿 | 515234
멩 | 2511225
뭔 | 25112125
뱀 | 2211212251
봉 | 2211215
둥 | 15125
땐 | 15152125
뛸 | 1515122515
러 | 51512
료 | 515221
링 | 51525
며 | 251112
뭘 | 2511212515
뱁 | 22112122211
봐 | 22112121
둬 | 151212
땔 | 1515212515
뜀 | 1515122251
럭 | 515125
룐 | 5152215
마 | 25121
멱 | 2511125
뭡 | 25112122211
뱃 | 221121234
봔 | 221121215
뒀 | 1512123434
땜 | 1515212251
뜁 | 15151222211
런 | 515125
룔 | 515221515
막 | 251215
면 | 2511125
뭣 | 251121234
뱄 | 22112123434
봤 | 221121213434
뒈 | 1512122
땝 | 15152122211
뜅 | 15151225
럴 | 51512515
룝 | 5152212211
만 | 251215
멸 | 251112515
뭬 | 25112122
뱅 | 22112125
봬 | 221121212
뒝 | 15121225
땟 | 151521234
뜨 | 15151
럼 | 51512251
룟 | 51522134
많 | 251215115
몃 | 25111234
뮈 | 251122
뱉 | 2211212115
뵀 | 2211212123434
뒤 | 15122
땠 | 15152123434
뜩 | 151515
럽 | 515122211
룡 | 5152215
맏 | 2512115
몄 | 2511123434
뮌 | 2511225
뱌 | 2211211
뵈 | 2211212
뒨 | 151225
땡 | 15152125
뜬 | 151515
럿 | 5151234
루 | 51512
말 | 25121515
명 | 2511125
뮐 | 251122515
뱍 | 22112115
뵉 | 22112125
뒬 | 15122515
떠 | 151512
뜯 | 1515115
렀 | 515123434
룩 | 515125
맑 | 251215155
몇 | 251112154
뮤 | 251122
뱐 | 22112115
뵌 | 22112125
뒵 | 151222211
떡 | 1515125
뜰 | 15151515
렁 | 515125
룬 | 515125
맒 | 25121515251
몌 | 2511122
뮨 | 2511225
뱝 | 22112112211
뵐 | 2211212515
뒷 | 1512234
떤 | 1515125
뜸 | 15151251
렇 | 51512115
룰 | 51512515
맘 | 25121251
모 | 25121
뮬 | 251122515
버 | 221112
뵘 | 2211212251
뒹 | 151225
떨 | 151512515
뜹 | 151512211
레 | 515122
룸 | 51512251
맙 | 251212211
목 | 251215
뮴 | 251122251
벅 | 2211125
뵙 | 22112122211
듀 | 15122
떪 | 151512515251
뜻 | 1515134
렉 | 5151225
룹 | 515122211
맛 | 2512134
몫 | 25121534
뮷 | 25112234
번 | 2211125
뵤 | 2211221
듄 | 151225
떫 | 1515125152211
띄 | 151512
렌 | 5151225
룻 | 5151234
망 | 251215
몬 | 251215
므 | 2511
벋 | 22111215
뵨 | 22112215
듈 | 15122515
떰 | 151512251
띈 | 1515125
렐 | 515122515
룽 | 515125
맞 | 2512154
몰 | 25121515
믄 | 25115
벌 | 221112515
부 | 221112
듐 | 15122251
떱 | 1515122211
띌 | 151512515
렘 | 515122251
뤄 | 5151212
맡 | 25121115
몲 | 25121515251
믈 | 2511515
벎 | 221112515251
북 | 2211125
듕 | 151225
떳 | 15151234
띔 | 151512251
렙 | 5151222211
뤘 | 51512123434
맣 | 25121115
몸 | 25121251
믐 | 2511251
범 | 221112251
분 | 2211125
드 | 151
떴 | 1515123434
띕 | 1515122211
렛 | 51512234
뤠 | 51512122
매 | 251212
몹 | 251212211
믓 | 251134
법 | 2211122211
붇 | 22111215
득 | 1515
떵 | 1515125
띠 | 15152
렝 | 5151225
뤼 | 515122
맥 | 2512125
못 | 2512134
미 | 2512
벗 | 22111234
불 | 221112515
든 | 1515
떻 | 151512115
띤 | 151525
려 | 515112
뤽 | 5151225
맨 | 2512125
몽 | 251215
믹 | 25125
벙 | 2211125
붉 | 2211125155
듣 | 15115
떼 | 1515122
띨 | 15152515
력 | 5151125
륀 | 5151225
맬 | 251212515
뫄 | 2512121
민 | 25125
벚 | 22111254
붊 | 221112515251
들 | 151515
떽 | 15151225
띰 | 15152251
련 | 5151125
륄 | 515122515
맴 | 251212251
뫈 | 25121215
믿 | 251215
베 | 2211122
붐 | 221112251
듦 | 151515251
뗀 | 15151225
띱 | 151522211
렬 | 515112515
륌 | 515122251
맵 | 2512122211
뫘 | 25121213434
밀 | 2512515
벡 | 22111225
붑 | 2211122211
듬 | 151251
뗄 | 1515122515
띳 | 1515234
렴 | 515112251
륏 | 51512234
맷 | 25121234
뫙 | 25121215
밂 | 2512515251
벤 | 22111225
붓 | 22111234
듭 | 1512211
뗌 | 1515122251
띵 | 151525
렵 | 5151122211
륑 | 5151225
맸 | 2512123434
뫼 | 251212
밈 | 2512251
벧 | 221112215
붕 | 2211125
듯 | 15134
뗍 | 15151222211
라 | 51521
렷 | 51511234
류 | 515122
맹 | 2512125
묀 | 2512125
밉 | 25122211
벨 | 2211122515
붙 | 221112115
등 | 1515
뗏 | 151512234
락 | 515215
렸 | 5151123434
륙 | 5151225
맺 | 25121254
묄 | 251212515
밋 | 251234
벰 | 2211122251
붚 | 2211121221
듸 | 1512
뗐 | 15151223434
란 | 515215
령 | 5151125
륜 | 5151225
먀 | 251211
묍 | 2512122211
밌 | 25123434
벱 | 22111222211
붜 | 22111212
디 | 152
뗑 | 15151225
랄 | 51521515
례 | 5151122
률 | 515122515
먁 | 2512115
묏 | 25121234
밍 | 25125
벳 | 221112234
붤 | 22111212515
붰 | 221112123434
뺑 | 221122112125
삠 | 221122112251
섭 | 34122211
쇤 | 342125
슬 | 341515
쏙 | 3434215
씹 | 343422211
얾 | 512515251
옵 | 5212211
붸 | 221112122
뺘 | 22112211211
삡 | 2211221122211
섯 | 341234
쇨 | 34212515
슭 | 3415155
쏜 | 3434215
씻 | 3434234
엄 | 512251
옷 | 52134
뷔 | 2211122
뺙 | 221122112115
삣 | 22112211234
섰 | 34123434
쇰 | 34212251
슴 | 341251
쏟 | 34342115
씽 | 343425
업 | 5122211
옹 | 5215
뷕 | 22111225
뺨 | 22112211211251
삥 | 2211221125
성 | 34125
쇱 | 342122211
습 | 342211
쏠 | 343421515
아 | 521
없 | 512221134
옻 | 521154
뷘 | 22111225
뻐 | 2211221112
사 | 3421
섶 | 34121221
쇳 | 3421234
슷 | 34134
쏢 | 343421515251
악 | 5215
엇 | 51234
와 | 52121
뷜 | 2211122515
뻑 | 22112211125
삭 | 34215
세 | 34122
쇼 | 34221
승 | 3415
쏨 | 343421251
안 | 5215
었 | 5123434
왁 | 521215
뷩 | 22111225
뻔 | 22112211125
삯 | 3421534
섹 | 341225
쇽 | 342215
시 | 342
쏩 | 3434212211
앉 | 521554
엉 | 5125
완 | 521215
뷰 | 2211122
뻗 | 221122111215
산 | 34215
센 | 341225
숀 | 342215
식 | 3425
쏭 | 3434215
않 | 5215115
엊 | 51254
왈 | 52121515
뷴 | 22111225
뻘 | 2211221112515
삳 | 342115
셀 | 34122515
숄 | 34221515
신 | 3425
쏴 | 34342121
알 | 521515
엌 | 51251
왐 | 52121251
뷸 | 2211122515
뻠 | 2211221112251
살 | 3421515
셈 | 34122251
숌 | 34221251
싣 | 34215
쏵 | 343421215
앍 | 5215155
엎 | 5121221
왑 | 521212211
븀 | 2211122251
뻣 | 221122111234
삵 | 34215155
셉 | 341222211
숍 | 342212211
실 | 342515
쏸 | 343421215
앎 | 521515251
에 | 5122
왓 | 5212134
븃 | 221112234
뻤 | 22112211123434
삶 | 3421515251
셋 | 3412234
숏 | 3422134
싫 | 342515115
쐈 | 343421213434
앓 | 521515115
엑 | 51225
왔 | 521213434
븅 | 22111225
뻥 | 22112211125
삼 | 3421251
셌 | 341223434
숑 | 342215
심 | 342251
쐐 | 343421212
암 | 521251
엔 | 51225
왕 | 521215
브 | 22111
뻬 | 22112211122
삽 | 34212211
셍 | 341225
수 | 3412
십 | 3422211
쐤 | 3434212123434
압 | 5212211
엘 | 5122515
왜 | 521212
븍 | 221115
뼁 | 221122111225
삿 | 341234
셔 | 34112
숙 | 34125
싯 | 34234
쐬 | 3434212
앗 | 52134
엠 | 5122251
왝 | 5212125
븐 | 221115
뼈 | 22112211112
샀 | 34213434
셕 | 341125
순 | 34125
싱 | 3425
쐰 | 34342125
았 | 512134
엡 | 51222211
왠 | 5212125
블 | 22111515
뼉 | 221122111125
상 | 34215
션 | 341125
숟 | 341215
싶 | 3421221
쐴 | 3434212515
앙 | 5215
엣 | 512234
왬 | 521212251
븜 | 22111251
뼘 | 22112211112251
샅 | 3421115
셜 | 34112515
술 | 3412515
싸 | 343421
쐼 | 3434212251
앝 | 521115
엥 | 51225
왯 | 52121234
븝 | 221112211
뼙 | 221122111122211
새 | 34212
셤 | 34112251
숨 | 3412251
싹 | 3434215
쐽 | 34342122211
앞 | 5211221
여 | 5112
왱 | 5212125
븟 | 2211134
뼛 | 2211221111234
색 | 342125
셥 | 341122211
숩 | 34122211
싻 | 343421534
쑈 | 3434221
애 | 5212
역 | 51125
외 | 5212
비 | 22112
뼜 | 221122111123434
샌 | 342125
셧 | 3411234
숫 | 341234
싼 | 3434215
쑤 | 343412
액 | 52125
엮 | 511255
왹 | 52125
빅 | 221125
뼝 | 221122111125
샐 | 34212515
셨 | 341123434
숭 | 34125
쌀 | 343421515
쑥 | 3434125
앤 | 52125
연 | 51125
왼 | 52125
빈 | 221125
뽀 | 2211221121
샘 | 34212251
셩 | 341125
숯 | 3412154
쌈 | 343421251
쑨 | 3434215
앨 | 5212515
열 | 5112515
욀 | 5212515
빌 | 22112515
뽁 | 22112211215
샙 | 342122211
셰 | 341122
숱 | 3412115
쌉 | 3434212211
쑬 | 343412515
앰 | 5212251
엶 | 5112515251
욈 | 5212251
빎 | 22112515251
뽄 | 22112211215
샛 | 3421234
셴 | 3411225
숲 | 34121221
쌌 | 3434213434
쑴 | 343412251
앱 | 52122211
엷 | 51125152211
욉 | 52122211
빔 | 22112251
뽈 | 2211221121515
샜 | 342123434
셸 | 341122515
숴 | 341212
쌍 | 3434215
쑵 | 3434122211
앳 | 521234
염 | 5112251
욋 | 521234
빕 | 221122211
뽐 | 2211221121251
생 | 342125
솅 | 3411225
쉈 | 3412123434
